,grp_id,premium_written
0,GRP123,99000
1,GRP131,99000
2,GRP147,99000
3,GRP118,97000
4,GRP154,95000
5,GRP133,93000
6,GRP157,92000
7,GRP134,90000
8,GRP143,90000
9,GRP106,89000
10,GRP129,88000
11,GRP152,87000
12,GRP153,86000
13,GRP150,84000
14,GRP124,81000
15,GRP115,79000
16,GRP122,79000
17,GRP109,78000
18,GRP121,78000
19,GRP101,72000
20,GRP139,71000
21,GRP141,71000
22,GRP107,70000
23,GRP148,67000
24,GRP156,67000
25,GRP103,64000
26,GRP113,64000
27,GRP145,63000
28,GRP125,60000
29,GRP127,60000
30,GRP142,60000
31,GRP104,59000
32,GRP117,59000
33,GRP111,57000
34,GRP112,57000
35,GRP132,57000
36,GRP140,54000
37,GRP108,52000
38,GRP120,50000
39,GRP128,50000
40,GRP110,48000
41,GRP119,47000
42,GRP137,47000
43,GRP158,47000
44,GRP146,46000
45,GRP102,45000
46,GRP144,44000
47,GRP126,42000
48,GRP130,42000
49,GRP155,41000
50,GRP135,39000
51,GRP105,37000
52,GRP136,34000
53,GRP149,34000
54,GRP114,33000
55,GRP116,32000
56,GRP138,32000
57,GRP151,31000
