,hospital_name,total_patient
0,Manipal Hospitals,9
1,Apollo Hospitals - Bannerghatta Road,8
2,Medanta The Medicity,7
3,Jaslok Hospital and Research Centre,6
4,Indraprastha Apollo Hospital,5
5,Fortis Hospital Mulund,4
6,PGIMER - Postgraduate Institute of Medical Education and Research,4
7,Apollo Hospital - Chennai,4
8,King Edward Memorial Hospital,3
9,Yashoda Hospital Secunderabad,3
10,Apollo Health City - Jubilee Hills,3
11,Bombay Hospital & Medical Research Centre,3
12,Fortis Hiranandani Hospital,2
13,Lilavati Hospital And Research Centre,2
14,The Christian Medical College,2
15,Fortis Flt. Lt. Rajan Dhall Hospital,1
16,P. D. Hinduja National Hospital & Medical Research Centre,1
17,Sir Ganga Ram Hospital,1
18,Breach Candy Hospital,1
19,All India Institute of Medical Sciences,1
