S101,Deficiency Diseases,3000,"GRP101,GRP105"
S102,Accident,1000,"GRP110,GRP150,GRP136"
S103,Physiology,2000,"GRP122,GRP108,GRP138,GRP148"
S104,Therapy,1500,"GRP103,GRP113,GRP123,GRP133,GRP143"
S105,Allergies,2300,"GRP153,GRP104,GRP114,GRP124"
S106,Self inflicted,1200,"GRP117,GRP127,GRP137,GRP147,GRP157"
S107,Cancer,3200,"GRP151,GRP131,GRP141,GRP121"
S108,Infectious disease,1500,"GRP130,GRP104,GRP109"
S109,Hereditary,2000,"GRP102,GRP112,GRP132,GRP142,GRP152"
S110,Viral,1000,"GRP143,GRP147,GRP126"
